,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,5,95.63684800738915,adm1,esri
1,1,17,91.3087261493453,adm1,esri
2,2,7,52.60313561032191,adm1,esri
3,3,3,93.77920797423837,adm1,esri
4,4,11,98.22159766491593,adm1,esri
5,5,4,98.2947103623242,adm1,esri
6,6,9,97.61183736921238,adm1,esri
7,7,0,98.3173884496817,adm1,esri
8,8,6,96.86538606876738,adm1,esri
9,9,15,98.41573491672257,adm1,esri
10,10,14,74.77469215386338,adm1,esri
11,11,10,90.41319607734394,adm1,esri
12,12,8,98.18469518079077,adm1,esri
13,13,16,92.33767904868799,adm1,esri
14,14,1,97.46280094113182,adm1,esri
15,15,12,43.42840682947582,adm1,esri
16,16,13,97.43335427023756,adm1,esri
17,17,2,98.05622250495249,adm1,esri
