,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,4,30.630986643257597,adm1,esri
1,1,0,28.549033321897443,adm1,esri
2,2,5,12.324107749922241,adm1,esri
3,3,5,42.20355657570669,adm1,esri
4,4,4,44.20730447796261,adm1,esri
5,5,1,19.267135154310246,adm1,esri
6,6,2,35.860495978280646,adm1,esri
7,7,3,39.36617876887604,adm1,esri
8,8,5,44.65727932675489,adm1,esri
9,9,1,22.59058861228565,adm1,esri
10,10,3,35.60040127450927,adm1,esri
11,11,2,61.86500503220286,adm1,esri
12,12,1,56.66193442644713,adm1,esri
13,13,6,61.27808766917951,adm1,esri
14,14,6,37.383567802774316,adm1,esri
15,15,3,23.953536561814044,adm1,esri
16,16,4,24.5273307961266,adm1,esri
