,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,10,86.30536446524798,adm1,esri
1,1,8,96.75806793989071,adm1,esri
2,2,7,93.06513806049897,adm1,esri
3,3,1,98.25831867893109,adm1,esri
4,4,3,95.1080174255667,adm1,esri
5,5,5,96.80095276195149,adm1,esri
6,6,4,93.59418056560621,adm1,esri
7,7,9,98.45534954328734,adm1,esri
8,8,12,97.26459752173349,adm1,esri
9,9,11,97.83850552040093,adm1,esri
10,10,2,96.81004998784879,adm1,esri
11,11,0,97.64622525416108,adm1,esri
12,12,6,95.60902198977189,adm1,esri
13,13,13,99.18502046720316,adm1,esri
