,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,16,89.87671868136599,adm1,esri
1,1,18,81.33830215584985,adm1,esri
2,2,8,91.94848625570286,adm1,esri
3,3,5,82.92961839079483,adm1,esri
4,4,17,91.9104759666185,adm1,esri
5,5,19,93.48039817103117,adm1,esri
6,6,1,94.58371167216693,adm1,esri
7,7,14,93.61158847480256,adm1,esri
8,8,6,98.88367214402956,adm1,esri
9,9,4,84.65750355728413,adm1,esri
10,10,0,91.0816401392921,adm1,esri
11,11,7,96.9228854368629,adm1,esri
12,12,11,89.72238030454025,adm1,esri
13,13,2,92.68165908235349,adm1,esri
14,14,15,94.23720763690827,adm1,esri
15,15,21,92.30458584267811,adm1,esri
16,16,3,85.10451674145058,adm1,esri
17,17,23,98.7510974685598,adm1,esri
18,18,22,95.35574663785246,adm1,esri
19,19,12,94.50538347749091,adm1,esri
20,20,20,87.5753210397398,adm1,esri
21,21,10,85.58013032484965,adm1,esri
22,22,9,92.1994787940302,adm1,esri
23,23,13,87.82459196986727,adm1,esri
