,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,6,96.13530189333017,adm1,esri
1,1,0,83.92677350731321,adm1,esri
2,2,4,73.99454365912757,adm1,esri
3,3,5,94.67356032614288,adm1,esri
4,4,8,74.80917561422149,adm1,esri
5,5,13,97.58984784970816,adm1,esri
6,6,12,98.25726574202731,adm1,esri
7,7,2,96.57208085122953,adm1,esri
8,8,9,96.0989848188475,adm1,esri
9,9,3,95.4707227931472,adm1,esri
10,10,1,93.21329157372905,adm1,esri
11,11,11,98.72484304843294,adm1,esri
12,12,7,95.7304150196152,adm1,esri
13,13,10,94.8607700031219,adm1,esri
