,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,41,99.9999808748035,adm2,ocha
1,1,86,99.9999524794709,adm2,ocha
2,2,100,99.99999775626407,adm2,ocha
3,3,98,99.99898188368681,adm2,ocha
4,4,102,99.9978244923431,adm2,ocha
5,5,99,99.99999256384785,adm2,ocha
6,6,7,99.99999675956191,adm2,ocha
7,7,6,99.99999626171403,adm2,ocha
8,8,101,99.99897799243229,adm2,ocha
9,9,10,99.99999753642305,adm2,ocha
10,10,11,99.99999580681988,adm2,ocha
11,11,13,99.99999626744841,adm2,ocha
12,12,14,99.99998294307314,adm2,ocha
13,13,70,99.99981371519733,adm2,ocha
14,14,19,99.99995599296395,adm2,ocha
15,15,88,99.99991816578478,adm2,ocha
16,16,16,99.99999835145417,adm2,ocha
17,17,18,99.99999211802786,adm2,ocha
18,18,9,99.99993136363082,adm2,ocha
19,19,84,99.99994899100078,adm2,ocha
20,20,83,99.99998619624743,adm2,ocha
21,21,15,99.99998605897427,adm2,ocha
22,22,85,99.99994623452447,adm2,ocha
23,23,2,99.99993367991765,adm2,ocha
24,24,29,99.99983004128556,adm2,ocha
25,25,0,99.99998402259075,adm2,ocha
26,26,57,99.9999669884716,adm2,ocha
27,27,71,99.65936060030955,adm2,ocha
28,28,74,99.9999967825649,adm2,ocha
29,29,5,99.99999801099568,adm2,ocha
30,30,4,99.61249792312482,adm2,ocha
31,31,8,99.99999761731894,adm2,ocha
32,32,75,99.95896292776347,adm2,ocha
33,33,72,99.99549928241316,adm2,ocha
34,34,73,99.976291315511,adm2,ocha
35,35,50,99.99996215401194,adm2,ocha
36,36,51,99.99990732177353,adm2,ocha
37,37,49,99.99998208368967,adm2,ocha
38,38,53,99.99996777208877,adm2,ocha
39,39,31,99.99993915753177,adm2,ocha
40,40,107,99.99998312460689,adm2,ocha
41,41,108,99.99898170710826,adm2,ocha
42,42,105,99.99986953157112,adm2,ocha
43,43,68,99.99954175297788,adm2,ocha
44,44,17,99.99904174825078,adm2,ocha
45,45,33,99.99999110678806,adm2,ocha
46,46,40,99.99992924957085,adm2,ocha
47,47,35,99.99996095467463,adm2,ocha
48,48,87,99.99992705064975,adm2,ocha
49,49,34,99.99985108040353,adm2,ocha
50,50,37,99.99997221947908,adm2,ocha
51,51,32,99.99997523317987,adm2,ocha
52,52,36,99.99975600095344,adm2,ocha
53,53,38,99.99996609458167,adm2,ocha
54,54,109,99.99977874278075,adm2,ocha
55,55,106,99.9999983932013,adm2,ocha
56,56,114,99.9999466803219,adm2,ocha
57,57,115,99.99952495613859,adm2,ocha
58,58,48,99.99965263356435,adm2,ocha
59,59,110,99.95065995975325,adm2,ocha
60,60,47,99.9188964584692,adm2,ocha
61,61,111,99.99958408070275,adm2,ocha
62,62,45,99.99996593777118,adm2,ocha
63,63,90,99.99988898897082,adm2,ocha
64,64,39,99.99995831749082,adm2,ocha
65,65,55,99.99997140256052,adm2,ocha
66,66,94,99.99995545065701,adm2,ocha
67,67,42,99.99998706269619,adm2,ocha
68,68,44,99.99998338403682,adm2,ocha
69,69,96,99.99998302760358,adm2,ocha
70,70,97,99.99996248342808,adm2,ocha
71,71,64,99.9999436358394,adm2,ocha
72,72,91,99.99998610853847,adm2,ocha
73,73,62,99.99946534419064,adm2,ocha
74,74,20,99.9997378652468,adm2,ocha
75,75,46,99.9999533325668,adm2,ocha
76,76,43,99.9999700534372,adm2,ocha
77,77,82,99.99997958081315,adm2,ocha
78,78,79,99.99999251597636,adm2,ocha
79,79,78,99.99994930618273,adm2,ocha
80,80,61,99.99999790952955,adm2,ocha
81,81,60,99.99997230088132,adm2,ocha
82,82,63,99.27891558922856,adm2,ocha
83,83,92,99.50706028663728,adm2,ocha
84,84,95,99.13058088759367,adm2,ocha
85,85,93,98.94752274671632,adm2,ocha
86,86,89,99.35162890795685,adm2,ocha
87,87,52,98.85996467899236,adm2,ocha
88,88,26,99.60457272956914,adm2,ocha
89,89,27,99.19588842836113,adm2,ocha
90,90,28,99.02547724222282,adm2,ocha
91,91,30,98.65588646699122,adm2,ocha
92,92,25,98.5216753569685,adm2,ocha
93,93,1,99.20838743450079,adm2,ocha
94,94,12,94.57994659675062,adm2,ocha
95,95,69,99.87095466250184,adm2,ocha
96,96,67,99.55730668933252,adm2,ocha
97,97,104,99.06041176018873,adm2,ocha
98,98,113,99.12672934923393,adm2,ocha
99,99,112,99.45576175593025,adm2,ocha
100,100,21,99.75491014510214,adm2,ocha
101,101,22,98.65432403698969,adm2,ocha
102,102,24,98.7743815039743,adm2,ocha
103,103,23,99.41988434503132,adm2,ocha
104,104,76,99.77606402773056,adm2,ocha
105,105,81,98.71323373544408,adm2,ocha
106,106,77,99.95313433421978,adm2,ocha
107,107,80,99.15165568574228,adm2,ocha
108,108,59,99.83235337998376,adm2,ocha
109,109,58,99.34421437272519,adm2,ocha
110,110,65,99.00828551916983,adm2,ocha
111,111,103,99.71422870029562,adm2,ocha
112,112,54,99.99831172013936,adm2,ocha
113,113,56,99.99981378470704,adm2,ocha
114,114,3,99.9902449682163,adm2,ocha
115,115,116,99.99999253642167,adm2,ocha
116,116,117,99.99999398939237,adm2,ocha
117,117,118,99.99993184611898,adm2,ocha
118,118,66,98.66449109607936,adm2,ocha
