,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,2,36.643345209202906,adm1,ocha
1,1,3,24.47698463261938,adm1,ocha
2,2,3,39.058421921029364,adm1,ocha
3,3,3,36.16833809201333,adm1,ocha
4,4,6,62.421925690202194,adm1,ocha
5,5,1,19.263975517680894,adm1,ocha
6,6,1,23.15847942141165,adm1,ocha
7,7,6,37.48982079672446,adm1,ocha
8,8,4,24.590157335326886,adm1,ocha
9,9,4,30.594970781020958,adm1,ocha
10,10,4,44.69421938972028,adm1,ocha
11,11,5,42.042788954426626,adm1,ocha
12,12,5,44.88586879672869,adm1,ocha
13,13,2,63.18080510973032,adm1,ocha
14,14,1,57.53295140075211,adm1,ocha
15,15,5,12.549463081560122,adm1,ocha
16,16,0,97.03370428757637,adm1,ocha
