,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,11,64.47308060535617,adm2,ocha
1,1,12,64.40288273710775,adm2,ocha
2,2,13,63.05386660723139,adm2,ocha
3,3,14,72.20289467194539,adm2,ocha
4,4,15,50.48397407242587,adm2,ocha
5,5,16,48.524668113002285,adm2,ocha
6,6,17,70.17991072062868,adm2,ocha
7,7,18,67.2473870187951,adm2,ocha
8,8,19,32.350418156889624,adm2,ocha
9,9,20,72.87444112429648,adm2,ocha
10,10,21,60.77712575866063,adm2,ocha
11,11,22,53.91216449343549,adm2,ocha
12,12,23,71.53722704701826,adm2,ocha
13,13,24,58.12892479642018,adm2,ocha
14,14,25,70.01361487064479,adm2,ocha
15,15,29,54.7297538778386,adm2,ocha
16,16,27,38.82442308711957,adm2,ocha
17,17,28,45.24831614041536,adm2,ocha
18,18,26,77.97870514778614,adm2,ocha
19,19,30,59.58627281538834,adm2,ocha
20,20,31,34.09811314476243,adm2,ocha
21,21,32,59.30268914803028,adm2,ocha
22,22,33,60.44697521451802,adm2,ocha
23,23,34,54.01326350437215,adm2,ocha
24,24,35,68.13662980564261,adm2,ocha
25,25,36,49.505792610363656,adm2,ocha
26,26,37,31.30657903308408,adm2,ocha
27,27,38,75.11220275490953,adm2,ocha
28,28,39,52.083669470452534,adm2,ocha
29,29,40,38.22891919331693,adm2,ocha
30,30,41,49.26421899961034,adm2,ocha
31,31,81,37.76652684199402,adm2,ocha
32,32,82,47.038064352875786,adm2,ocha
33,33,83,24.886286723443934,adm2,ocha
34,34,86,51.05078006576023,adm2,ocha
35,35,85,26.741781797835166,adm2,ocha
36,36,81,23.675989842386464,adm2,ocha
37,37,85,32.564053092048276,adm2,ocha
38,38,88,50.78036816849626,adm2,ocha
39,39,94,16.136299804657778,adm2,ocha
40,40,90,34.10430400783345,adm2,ocha
41,41,84,12.508147059467397,adm2,ocha
42,42,91,35.36873711262384,adm2,ocha
43,43,92,52.12286148915343,adm2,ocha
44,44,94,20.619687809863866,adm2,ocha
45,45,87,35.664509042835455,adm2,ocha
46,46,42,71.45940647297849,adm2,ocha
47,47,43,74.34611357483898,adm2,ocha
48,48,44,72.91708882567342,adm2,ocha
49,49,45,77.33480444801461,adm2,ocha
50,50,46,61.80465445271568,adm2,ocha
51,51,47,70.8333804332305,adm2,ocha
52,52,48,63.32047792988577,adm2,ocha
53,53,49,76.67020955801641,adm2,ocha
54,54,50,75.59420923276528,adm2,ocha
55,55,51,90.35722260616804,adm2,ocha
56,56,52,82.37866407991976,adm2,ocha
57,57,53,81.00889033917224,adm2,ocha
58,58,54,71.7247058177622,adm2,ocha
59,59,55,67.02695829317246,adm2,ocha
60,60,57,53.4129771242102,adm2,ocha
61,61,58,58.60806175571568,adm2,ocha
62,62,62,38.16140743931054,adm2,ocha
63,63,60,76.3973023065599,adm2,ocha
64,64,61,83.24666020188909,adm2,ocha
