,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,16,96.10952198465435,adm1,ocha
1,1,18,96.933682403732,adm1,ocha
2,2,5,82.09299262059297,adm1,ocha
3,3,8,99.57851936614915,adm1,ocha
4,4,17,92.86474690105196,adm1,ocha
5,5,19,97.31277851125334,adm1,ocha
6,6,1,97.50728544287651,adm1,ocha
7,7,14,96.05878614929237,adm1,ocha
8,8,6,99.09675022629767,adm1,ocha
9,9,4,94.3806768984246,adm1,ocha
10,10,0,94.1558844124384,adm1,ocha
11,11,7,99.7398555032928,adm1,ocha
12,12,11,97.60209643161444,adm1,ocha
13,13,2,96.66034139422912,adm1,ocha
14,14,15,99.57495019862822,adm1,ocha
15,15,21,99.31792770139455,adm1,ocha
16,16,3,99.38286888775006,adm1,ocha
17,17,23,99.7270275195373,adm1,ocha
18,18,22,97.87652118525438,adm1,ocha
19,19,12,99.28380248703058,adm1,ocha
20,20,20,90.83929875994642,adm1,ocha
21,21,10,99.31938275915907,adm1,ocha
22,22,9,98.85767343774589,adm1,ocha
23,23,13,99.67146139556226,adm1,ocha
24,24,2,2.4245100784425553,adm1,ocha
