,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,8,11.519289797784483,adm2,ocha
1,1,8,5.609085394673523,adm2,ocha
2,2,8,41.11331698766104,adm2,ocha
3,3,5,8.73993086310605,adm2,ocha
4,4,5,11.933303391316636,adm2,ocha
5,5,8,20.082060132743845,adm2,ocha
6,6,8,16.785799194186865,adm2,ocha
7,7,5,1.9522724183247033,adm2,ocha
8,8,7,16.99963180772822,adm2,ocha
9,9,5,12.58424754767492,adm2,ocha
10,10,5,8.516133376647858,adm2,ocha
11,11,5,28.0900634326196,adm2,ocha
12,12,3,14.297930600503589,adm2,ocha
13,13,5,24.41076464962378,adm2,ocha
14,14,7,42.86533983596825,adm2,ocha
15,15,7,35.31628297000542,adm2,ocha
16,16,3,14.950604143268736,adm2,ocha
17,17,3,9.811848194776882,adm2,ocha
18,18,3,19.317581984376076,adm2,ocha
19,19,3,12.624599754156895,adm2,ocha
20,20,4,22.747410451447045,adm2,ocha
21,21,9,9.941946120375365,adm2,ocha
22,22,3,12.467293041322591,adm2,ocha
23,23,3,12.742421564673101,adm2,ocha
24,24,9,27.29671354785016,adm2,ocha
25,25,4,13.395645568176388,adm2,ocha
26,26,4,5.472794795676361,adm2,ocha
27,27,9,25.32680904523124,adm2,ocha
28,28,4,3.278784218259328,adm2,ocha
29,29,4,3.5909455114501285,adm2,ocha
30,30,4,2.6825187907536097,adm2,ocha
31,31,4,7.1161576064599945,adm2,ocha
32,32,6,20.895627215390686,adm2,ocha
33,33,4,2.45570435579309,adm2,ocha
34,34,4,5.471634688263825,adm2,ocha
35,35,4,28.089083337687086,adm2,ocha
36,36,9,13.771525934160719,adm2,ocha
37,37,0,5.293070095337271,adm2,ocha
38,38,0,10.993747762601163,adm2,ocha
39,39,0,12.642393513560323,adm2,ocha
40,40,9,21.049679384056446,adm2,ocha
41,41,6,24.255781310936893,adm2,ocha
42,42,0,12.342357439819267,adm2,ocha
43,43,0,29.68007343797633,adm2,ocha
44,44,0,9.3123676246739,adm2,ocha
45,45,0,6.3352985398240875,adm2,ocha
46,46,2,6.460541260243237,adm2,ocha
47,47,0,7.133856421659535,adm2,ocha
48,48,2,9.897435443799553,adm2,ocha
49,49,2,35.62867440512087,adm2,ocha
50,50,2,2.297501679843941,adm2,ocha
51,51,2,5.98092728858438,adm2,ocha
52,52,2,5.446958156971666,adm2,ocha
53,53,2,7.019029316320734,adm2,ocha
54,54,2,2.5739194733725843,adm2,ocha
55,55,2,10.847774241905123,adm2,ocha
56,56,6,25.446278873188888,adm2,ocha
57,57,6,27.49260094293482,adm2,ocha
58,58,2,5.368900135032368,adm2,ocha
59,59,2,2.1226687041688677,adm2,ocha
60,60,1,7.4573482199808305,adm2,ocha
61,61,1,62.17529575682783,adm2,ocha
62,62,1,8.525065092396506,adm2,ocha
63,63,1,17.89070276232704,adm2,ocha
64,64,8,4.603943198160037,adm2,ocha
65,65,5,3.4846799931190864,adm2,ocha
66,66,7,4.6530716448753555,adm2,ocha
67,67,4,1.876777152992799,adm2,ocha
68,68,3,3.442913919491855,adm2,ocha
69,69,9,2.4388870563873186,adm2,ocha
70,70,4,3.5198847693860924,adm2,ocha
71,71,6,1.8011844548535745,adm2,ocha
72,72,0,2.0309024518987204,adm2,ocha
73,73,0,3.9186791389695586,adm2,ocha
74,74,2,1.8877229055620584,adm2,ocha
75,75,2,3.0059197410250325,adm2,ocha
76,76,2,1.0781712376200783,adm2,ocha
77,77,1,3.6218420874977273,adm2,ocha
