,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,2,28.784162284683322,adm1,ocha
1,1,2,29.67094802440714,adm1,ocha
2,2,2,11.091975454337307,adm1,ocha
3,3,2,29.399871600628526,adm1,ocha
4,4,4,20.539541287181706,adm1,ocha
5,5,4,16.02510048410864,adm1,ocha
6,6,4,20.37605017913582,adm1,ocha
7,7,4,25.921866569610614,adm1,ocha
8,8,4,16.790805670934954,adm1,ocha
9,9,5,31.171454335403126,adm1,ocha
10,10,5,29.643388218196385,adm1,ocha
11,11,5,38.40338736013485,adm1,ocha
12,12,0,20.295694079408396,adm1,ocha
13,13,0,32.9703047683658,adm1,ocha
14,14,0,18.95968973594159,adm1,ocha
15,15,0,27.043830079101642,adm1,ocha
16,16,3,40.59987081067688,adm1,ocha
17,17,3,11.905272816735916,adm1,ocha
18,18,3,18.251884465347892,adm1,ocha
19,19,3,28.648012528553675,adm1,ocha
20,20,1,44.851912364313975,adm1,ocha
21,21,1,54.25564938716333,adm1,ocha
