,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,12,98.84270172720959,adm1,ocha
1,1,11,97.5980307808578,adm1,ocha
2,2,9,98.24996634324067,adm1,ocha
3,3,22,97.76422158545708,adm1,ocha
4,4,8,98.63252683355128,adm1,ocha
5,5,15,96.11763679255971,adm1,ocha
6,6,16,96.80743465806137,adm1,ocha
7,7,0,98.87982513653,adm1,ocha
8,8,29,98.33683771093463,adm1,ocha
9,9,13,98.47282254445801,adm1,ocha
10,10,25,98.00429328946264,adm1,ocha
11,11,31,99.78963963919666,adm1,ocha
12,12,1,99.42972812261307,adm1,ocha
13,13,4,98.7401241722922,adm1,ocha
14,14,10,97.24148879922689,adm1,ocha
15,15,17,99.58871606850023,adm1,ocha
16,16,21,97.68998319257075,adm1,ocha
17,17,32,98.56281590660478,adm1,ocha
18,18,26,99.57575400642105,adm1,ocha
19,19,28,99.33563420700953,adm1,ocha
20,20,7,98.67125836171292,adm1,ocha
21,21,6,96.3763762245346,adm1,ocha
22,22,2,98.81296541390412,adm1,ocha
23,23,35,99.53013783896513,adm1,ocha
24,24,5,92.33871853703955,adm1,ocha
25,25,19,98.81359679860991,adm1,ocha
26,26,27,99.25001576907638,adm1,ocha
27,27,14,99.00560777987562,adm1,ocha
28,28,33,98.93073681271832,adm1,ocha
29,29,30,98.89622610414156,adm1,ocha
30,30,34,99.53978221884941,adm1,ocha
31,31,18,99.27290703432891,adm1,ocha
32,32,36,94.28188409527264,adm1,ocha
33,33,24,97.27350021546225,adm1,ocha
34,34,23,98.25795640877374,adm1,ocha
35,35,20,98.48394489318495,adm1,ocha
36,36,3,98.07566551820199,adm1,ocha
