,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,6,97.668951489259,adm1,ocha
1,1,0,99.99999938118238,adm1,ocha
2,2,4,98.00794472297605,adm1,ocha
3,3,5,99.76570392285564,adm1,ocha
4,4,8,98.77366840139709,adm1,ocha
5,5,12,98.92064282499,adm1,ocha
6,6,13,98.45536287950205,adm1,ocha
7,7,2,99.93114979750058,adm1,ocha
8,8,9,99.8453502180247,adm1,ocha
9,9,3,99.60362163011969,adm1,ocha
10,10,1,98.91373326691703,adm1,ocha
11,11,11,99.52437390469721,adm1,ocha
12,12,7,99.6579837816336,adm1,ocha
13,13,10,96.68332888525944,adm1,ocha
