,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,12,79.02678278648733,adm2,ocha
1,1,20,78.51974897190756,adm2,ocha
2,2,21,83.39785483868707,adm2,ocha
3,3,22,84.74199334432524,adm2,ocha
4,4,23,83.97753529024892,adm2,ocha
5,5,5,81.24464818517167,adm2,ocha
6,6,13,81.87718409619626,adm2,ocha
7,7,14,76.45892506165339,adm2,ocha
8,8,6,92.46866235624445,adm2,ocha
9,9,7,79.41711585335847,adm2,ocha
10,10,0,93.06118110423576,adm2,ocha
11,11,32,84.85051792157462,adm2,ocha
12,12,8,90.86075834927617,adm2,ocha
13,13,24,76.76258545605738,adm2,ocha
14,14,9,84.12178849848318,adm2,ocha
15,15,25,84.30451937130053,adm2,ocha
16,16,15,45.8825588130199,adm2,ocha
17,17,26,87.62550891462958,adm2,ocha
18,18,10,84.81662101615701,adm2,ocha
19,19,27,75.09927580368236,adm2,ocha
20,20,11,87.49689171389628,adm2,ocha
21,21,28,75.10600290252808,adm2,ocha
22,22,33,76.59122085230196,adm2,ocha
23,23,16,79.3319548916803,adm2,ocha
24,24,15,40.22893220835903,adm2,ocha
25,25,29,88.52143589515735,adm2,ocha
26,26,34,70.22579587381104,adm2,ocha
27,27,30,87.83544547706423,adm2,ocha
28,28,35,77.47893924020572,adm2,ocha
29,29,36,80.2789814390912,adm2,ocha
30,30,1,71.87318011430725,adm2,ocha
31,31,2,85.7548504450449,adm2,ocha
32,32,37,79.38671535226312,adm2,ocha
33,33,3,90.31404150391877,adm2,ocha
34,34,4,88.24660881063373,adm2,ocha
35,35,38,80.306052883696,adm2,ocha
36,36,17,85.64296222051163,adm2,ocha
37,37,31,88.12507151705655,adm2,ocha
38,38,18,86.70632025770493,adm2,ocha
39,39,19,85.63070797058786,adm2,ocha
