,country,avg_overlap_percent,comp_source
0,bdi,89.61920108774459,esri
1,ben,60.67790873658821,esri
2,caf,36.52509001013576,esri
3,civ,55.477338899302055,esri
4,cmr,59.91633614523319,esri
5,cri,52.63161434735056,esri
6,cyp,59.02394587860452,esri
7,ecu,60.77917669341101,esri
8,gha,54.69484445794981,esri
9,gnb,35.51930918884715,esri
10,lka,48.77018388966005,esri
11,lso,96.10223517541218,esri
12,mdg,36.25795730409815,esri
13,moz,40.25746618951093,esri
14,ner,86.54106983626383,esri
15,nga,61.27777014007514,esri
16,sen,51.68838354999068,esri
17,tgo,87.66361073995381,esri
