,country,avg_overlap_percent,comp_source
0,ben,86.16373427521665,gB
1,bdi,99.05151234773996,gB
2,caf,40.29049380982145,gB
3,can,52.88651590682678,gB
4,civ,95.21728843646446,gB
5,cmr,84.86582824754139,gB
6,cri,97.09442944907782,gB
7,cub,91.95727598088229,gB
8,cyp,93.70386546783872,gB
9,ecu,93.2984409099801,gB
10,gha,82.68235297848612,gB
11,gnb,75.52810388895843,gB
12,isl,40.53556330396471,gB
13,khm,83.19431899328708,gB
14,lka,98.46513184520188,gB
15,lso,23.0894771473439,gB
16,mdg,29.893483794081035,gB
17,mng,94.34629164951778,gB
18,moz,96.47761685651903,gB
19,ner,88.07210591450531,gB
20,nga,86.79605383835187,gB
21,nzl,99.77094489427036,gB
22,sen,98.2113762627444,gB
23,swz,62.19023186193533,gB
24,tgo,81.35449819376157,gB
