,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,5,99.73519018799443,adm1,ocha
1,1,17,99.99995936852724,adm1,ocha
2,2,7,99.09676239254466,adm1,ocha
3,3,3,99.99982636818126,adm1,ocha
4,4,11,99.34167255523431,adm1,ocha
5,5,4,99.238034835956,adm1,ocha
6,6,9,99.99995888723886,adm1,ocha
7,7,0,99.98926538529275,adm1,ocha
8,8,6,99.81620722500818,adm1,ocha
9,9,15,99.7632506989889,adm1,ocha
10,10,14,99.48436461227888,adm1,ocha
11,11,10,99.9118115597094,adm1,ocha
12,12,8,99.51769208175165,adm1,ocha
13,13,16,99.99997872408902,adm1,ocha
14,14,1,99.74095124878679,adm1,ocha
15,15,12,99.99935117774673,adm1,ocha
16,16,13,99.67846198326582,adm1,ocha
17,17,2,99.76325671708737,adm1,ocha
