,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,6,46.955407309536625,adm2,ocha
1,1,6,16.807002464477662,adm2,ocha
2,2,6,5.168262340116577,adm2,ocha
3,3,14,30.806126443702375,adm2,ocha
4,4,6,14.883899524200608,adm2,ocha
5,5,7,21.006003864558483,adm2,ocha
6,6,16,32.77001857564912,adm2,ocha
7,7,16,33.05201792115641,adm2,ocha
8,8,16,14.267552816698556,adm2,ocha
9,9,7,21.787166561461348,adm2,ocha
10,10,16,19.494646930919522,adm2,ocha
11,11,12,22.165260443806833,adm2,ocha
12,12,12,27.620810344582875,adm2,ocha
13,13,12,17.856057832255665,adm2,ocha
14,14,5,29.15147667251525,adm2,ocha
15,15,9,17.729216388680545,adm2,ocha
16,16,13,28.094046151132673,adm2,ocha
17,17,13,13.515584814353906,adm2,ocha
18,18,13,14.425289078565193,adm2,ocha
19,19,13,24.525251890516174,adm2,ocha
20,20,13,11.471719618752903,adm2,ocha
21,21,14,47.353405912840124,adm2,ocha
22,22,14,21.512237420235174,adm2,ocha
23,23,15,80.66686104188719,adm2,ocha
24,24,15,18.97744016644567,adm2,ocha
25,25,0,62.41881454377467,adm2,ocha
26,26,4,33.24502627615438,adm2,ocha
27,27,3,8.243615911812512,adm2,ocha
28,28,8,12.137364365225055,adm2,ocha
29,29,8,10.635009936606304,adm2,ocha
30,30,8,1.9928807065994647,adm2,ocha
31,31,10,9.847373483382038,adm2,ocha
32,32,6,16.095964235465424,adm2,ocha
33,33,5,35.44923206724098,adm2,ocha
34,34,11,34.937761139857656,adm2,ocha
35,35,10,14.930892409599645,adm2,ocha
36,36,10,15.120624736591342,adm2,ocha
37,37,10,23.255546770859297,adm2,ocha
38,38,10,15.266768840785296,adm2,ocha
39,39,10,21.492267399369318,adm2,ocha
40,40,11,10.244232560618665,adm2,ocha
41,41,11,16.211097602667504,adm2,ocha
42,42,2,8.891013512804431,adm2,ocha
43,43,2,28.989148639347455,adm2,ocha
44,44,11,15.248062066397095,adm2,ocha
45,45,4,18.837869655629092,adm2,ocha
46,46,2,27.359251214263153,adm2,ocha
47,47,0,37.57676510006753,adm2,ocha
48,48,11,23.336935494907134,adm2,ocha
49,49,4,47.777834324002605,adm2,ocha
50,50,3,14.340176934196688,adm2,ocha
51,51,12,8.362238193094393,adm2,ocha
52,52,13,7.740567542690667,adm2,ocha
53,53,7,30.611981117121474,adm2,ocha
54,54,2,7.400107651550101,adm2,ocha
55,55,3,12.561356854510839,adm2,ocha
56,56,3,64.00273880029121,adm2,ocha
57,57,8,45.91217684612719,adm2,ocha
58,58,8,29.20086508863371,adm2,ocha
59,59,2,13.576486958910142,adm2,ocha
60,60,2,13.690776574273658,adm2,ocha
61,61,5,12.768997869004508,adm2,ocha
62,62,5,22.522870101647783,adm2,ocha
63,63,9,82.27078355087136,adm2,ocha
64,64,12,16.197495350908998,adm2,ocha
65,65,12,3.726418513286696,adm2,ocha
66,66,12,4.069613847539149,adm2,ocha
67,67,7,9.370689334029256,adm2,ocha
68,68,7,2.888758466461209,adm2,ocha
69,69,7,10.565467022973944,adm2,ocha
70,70,7,3.5724878283229247,adm2,ocha
71,71,1,97.03370428757637,adm2,ocha
