,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,136,92.1513568054851,adm2,ocha
1,1,175,99.10027402461002,adm2,ocha
2,2,35,72.47102805214854,adm2,ocha
3,3,76,94.09634452215646,adm2,ocha
4,4,203,98.2109005175248,adm2,ocha
5,5,101,93.22414670900271,adm2,ocha
6,6,179,99.34297960326138,adm2,ocha
7,7,170,98.3276165919492,adm2,ocha
8,8,52,95.37845476191016,adm2,ocha
9,9,66,97.22812639741322,adm2,ocha
10,10,53,97.29850798542844,adm2,ocha
11,11,22,61.59387985842522,adm2,ocha
12,12,123,95.67869939547671,adm2,ocha
13,13,124,92.94566262015499,adm2,ocha
14,14,77,90.05982535776933,adm2,ocha
15,15,54,97.43401581275639,adm2,ocha
16,16,78,96.97845798044646,adm2,ocha
17,17,204,98.49505271099498,adm2,ocha
18,18,23,77.77047420245378,adm2,ocha
19,19,29,98.20330623460752,adm2,ocha
20,20,137,93.88789800771778,adm2,ocha
21,21,125,96.47515285885542,adm2,ocha
22,22,15,97.38831724612417,adm2,ocha
23,23,107,96.60184178983648,adm2,ocha
24,24,0,33.38815055793392,adm2,ocha
25,25,24,86.12601098989656,adm2,ocha
26,26,171,98.60984462304815,adm2,ocha
27,27,196,98.49092981812923,adm2,ocha
28,28,108,99.01616051538115,adm2,ocha
29,29,183,98.77608012326417,adm2,ocha
30,30,109,99.1074735486259,adm2,ocha
31,31,212,97.85739902752077,adm2,ocha
32,32,205,98.81864245897664,adm2,ocha
33,33,110,99.32063117816682,adm2,ocha
34,34,36,97.6102108484956,adm2,ocha
35,35,55,98.96561206890246,adm2,ocha
36,36,16,90.18054624280603,adm2,ocha
37,37,17,94.73361227823676,adm2,ocha
38,38,213,95.48566260155093,adm2,ocha
39,39,138,98.00983888748966,adm2,ocha
40,40,1,98.37224543487505,adm2,ocha
41,41,37,98.27098933651685,adm2,ocha
42,42,79,98.51616850941507,adm2,ocha
43,43,38,94.4672665625777,adm2,ocha
