,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,133,99.32301038569165,adm2,ocha
1,1,0,99.18655635566299,adm2,ocha
2,2,66,98.60844066855071,adm2,ocha
3,3,118,99.22387560728913,adm2,ocha
4,4,1,99.31756312558707,adm2,ocha
5,5,45,99.31568428842054,adm2,ocha
6,6,23,99.152877834631,adm2,ocha
7,7,57,98.5789580515364,adm2,ocha
8,8,105,99.42912299058682,adm2,ocha
9,9,119,99.44506309708618,adm2,ocha
10,10,106,99.3395231599012,adm2,ocha
11,11,127,99.27782897705443,adm2,ocha
12,12,107,99.3972782943904,adm2,ocha
13,13,108,99.48142459203979,adm2,ocha
14,14,109,99.48787748281788,adm2,ocha
15,15,17,99.58610614716696,adm2,ocha
16,16,24,99.6237043095531,adm2,ocha
17,17,120,99.5944969923517,adm2,ocha
18,18,25,99.63319562919717,adm2,ocha
19,19,103,99.05146636204897,adm2,ocha
20,20,143,98.79017528192422,adm2,ocha
21,21,2,99.06194945901964,adm2,ocha
22,22,121,99.43540255458755,adm2,ocha
23,23,18,99.14007830467679,adm2,ocha
24,24,26,99.18520521858882,adm2,ocha
25,25,116,98.0915803856256,adm2,ocha
26,26,64,98.95763667831577,adm2,ocha
27,27,52,97.58385694465429,adm2,ocha
28,28,42,97.01290482853649,adm2,ocha
29,29,104,96.4759556496947,adm2,ocha
30,30,65,97.53174512249919,adm2,ocha
31,31,87,20.001289376482887,adm2,ocha
32,32,16,95.16410528278007,adm2,ocha
33,33,154,97.1181888161488,adm2,ocha
34,34,132,97.02847055109363,adm2,ocha
35,35,30,96.84914356174848,adm2,ocha
36,36,89,99.30527723715218,adm2,ocha
37,37,144,99.39995439692038,adm2,ocha
38,38,128,99.07520987491807,adm2,ocha
39,39,117,98.85588308017526,adm2,ocha
40,40,67,99.19512506348657,adm2,ocha
41,41,31,99.74266390155012,adm2,ocha
42,42,134,99.48385215653387,adm2,ocha
43,43,53,99.30534474818536,adm2,ocha
44,44,110,99.47537833178059,adm2,ocha
45,45,32,99.17699355712261,adm2,ocha
46,46,19,99.605914248978,adm2,ocha
47,47,46,99.58414652841697,adm2,ocha
48,48,135,99.32413092173206,adm2,ocha
49,49,41,99.39667918811324,adm2,ocha
50,50,3,88.84612653239937,adm2,ocha
51,51,145,99.119871473288,adm2,ocha
52,52,79,95.45712778023999,adm2,ocha
53,52,79,0,adm2,ocha
54,52,79,0,adm2,ocha
55,55,33,99.25736384818352,adm2,ocha
56,56,34,99.42861402100364,adm2,ocha
57,57,136,98.01937262336202,adm2,ocha
58,58,43,99.35329821134152,adm2,ocha
59,59,90,99.37851277632454,adm2,ocha
60,60,155,96.55321749675963,adm2,ocha
61,61,68,99.26410559819713,adm2,ocha
62,62,80,99.018959229811,adm2,ocha
63,63,27,99.27200355480608,adm2,ocha
64,64,81,98.90966027966566,adm2,ocha
65,65,146,98.45930807700597,adm2,ocha
66,66,137,99.40000637442972,adm2,ocha
67,67,20,99.72603637053199,adm2,ocha
68,68,35,99.73790911954298,adm2,ocha
69,69,122,99.43890541701987,adm2,ocha
70,70,54,98.93325525405643,adm2,ocha
71,71,111,99.31508892017379,adm2,ocha
72,72,47,99.63840260111284,adm2,ocha
73,73,4,99.02905734439273,adm2,ocha
74,74,48,99.59159538675473,adm2,ocha
75,75,147,99.05640025970649,adm2,ocha
76,76,123,99.22447933490209,adm2,ocha
77,77,58,99.63872538777498,adm2,ocha
78,78,91,99.39992805322663,adm2,ocha
79,79,69,99.30034539834058,adm2,ocha
80,80,92,99.23667621542813,adm2,ocha
81,81,28,99.27708484602891,adm2,ocha
82,82,59,99.4416328875314,adm2,ocha
83,83,55,98.73760857476289,adm2,ocha
84,84,29,99.71397299658462,adm2,ocha
85,85,153,18.151868443784664,adm2,ocha
86,86,129,99.0791053083165,adm2,ocha
87,87,124,99.70356549837945,adm2,ocha
88,88,112,99.52252765499594,adm2,ocha
89,89,63,98.84101686323041,adm2,ocha
90,90,113,99.44049805164823,adm2,ocha
91,91,93,99.55513014612045,adm2,ocha
92,92,21,99.5430900368108,adm2,ocha
93,93,36,99.51161400538416,adm2,ocha
94,94,22,99.65751935948416,adm2,ocha
95,95,60,99.73009357575869,adm2,ocha
96,96,94,99.21709966242412,adm2,ocha
97,97,95,99.39302678648325,adm2,ocha
98,98,44,98.28553977853706,adm2,ocha
99,99,96,99.40205940009696,adm2,ocha
100,100,70,99.07935812607126,adm2,ocha
101,101,71,99.52865157275484,adm2,ocha
102,102,5,98.74472151426704,adm2,ocha
103,103,97,99.48303686324869,adm2,ocha
104,104,6,99.2217371857645,adm2,ocha
105,105,72,99.03068618514477,adm2,ocha
106,106,98,99.06040007750676,adm2,ocha
107,107,15,98.16695766690616,adm2,ocha
108,108,148,99.30374012890402,adm2,ocha
109,109,61,99.67154440314468,adm2,ocha
110,110,130,99.40506226604346,adm2,ocha
111,111,7,98.95327188479841,adm2,ocha
112,112,138,99.42785410299754,adm2,ocha
113,113,149,99.12170270110556,adm2,ocha
114,114,82,98.75844361114203,adm2,ocha
115,115,73,99.17627053931525,adm2,ocha
116,116,152,99.28738857490211,adm2,ocha
117,117,83,99.14270568979404,adm2,ocha
118,118,74,99.00748042624959,adm2,ocha
119,119,8,99.59030513158714,adm2,ocha
120,120,139,99.42782921275204,adm2,ocha
121,121,150,99.40909424047632,adm2,ocha
122,122,37,99.34635938735839,adm2,ocha
123,123,84,98.73647397185714,adm2,ocha
124,124,49,99.33070485253111,adm2,ocha
125,125,114,99.5383793303897,adm2,ocha
126,126,75,99.2571987592522,adm2,ocha
127,127,9,98.90961306061821,adm2,ocha
128,128,99,99.13945389927017,adm2,ocha
129,129,10,98.77204644891403,adm2,ocha
130,130,151,99.10705214608674,adm2,ocha
131,131,76,99.10171391433428,adm2,ocha
132,132,131,98.78649052090569,adm2,ocha
133,133,85,97.53735423532032,adm2,ocha
134,134,86,98.38176718377039,adm2,ocha
135,135,77,98.79072426809971,adm2,ocha
136,136,62,99.44974200055367,adm2,ocha
137,137,140,98.98196402553,adm2,ocha
138,138,141,99.1068598315819,adm2,ocha
139,139,11,99.41586149508966,adm2,ocha
140,140,12,98.07429640177378,adm2,ocha
141,141,100,98.98064600867932,adm2,ocha
142,142,115,99.44601538380763,adm2,ocha
143,143,153,81.12581959986703,adm2,ocha
144,144,101,99.24027452727836,adm2,ocha
145,145,13,97.67606335596021,adm2,ocha
146,146,38,99.60883320299725,adm2,ocha
147,147,142,99.49653567019904,adm2,ocha
148,148,14,98.32760465819003,adm2,ocha
149,149,88,63.3653053250607,adm2,ocha
150,150,78,99.33687104703914,adm2,ocha
151,151,102,99.41871527719941,adm2,ocha
152,152,50,99.52721429859088,adm2,ocha
153,153,51,99.44531806775197,adm2,ocha
154,154,125,99.075013642836,adm2,ocha
155,155,56,99.2336365440761,adm2,ocha
156,156,39,99.51123183657303,adm2,ocha
157,157,40,99.28010509086822,adm2,ocha
158,158,126,99.69220078275227,adm2,ocha
