,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,40,99.99979977380673,adm2,ocha
1,1,28,99.99999999999994,adm2,ocha
2,2,0,99.99999999999997,adm2,ocha
3,3,19,99.97897074234984,adm2,ocha
4,4,1,99.50821005741972,adm2,ocha
5,5,41,99.99860448062992,adm2,ocha
6,6,29,100.00000000000003,adm2,ocha
7,7,42,100.00000000000007,adm2,ocha
8,8,43,99.99872313734215,adm2,ocha
9,9,44,90.28873745614293,adm2,ocha
10,10,53,100.00000000000011,adm2,ocha
11,11,20,100.0,adm2,ocha
12,12,2,99.91391181548546,adm2,ocha
13,13,30,98.2593328219719,adm2,ocha
14,14,11,99.99999999999986,adm2,ocha
15,15,5,98.17624151693062,adm2,ocha
16,16,31,100.0,adm2,ocha
17,17,21,100.00000000000013,adm2,ocha
18,18,54,99.9999999785458,adm2,ocha
19,19,6,98.6450364630258,adm2,ocha
20,20,12,97.75346950460789,adm2,ocha
21,21,13,98.69683601505517,adm2,ocha
22,22,14,99.99991516875326,adm2,ocha
23,23,55,99.96649662321181,adm2,ocha
24,24,15,99.99760851946215,adm2,ocha
25,25,45,99.99999999999983,adm2,ocha
26,26,16,98.87527332151116,adm2,ocha
27,27,22,99.91999044442782,adm2,ocha
28,28,46,99.76261429881708,adm2,ocha
29,29,7,99.98339118810921,adm2,ocha
30,30,56,99.99194116498184,adm2,ocha
31,31,23,98.08957931643005,adm2,ocha
32,32,3,99.74079808239804,adm2,ocha
33,33,32,99.99999999999993,adm2,ocha
34,34,63,99.8830798780796,adm2,ocha
35,35,57,99.99367982956664,adm2,ocha
36,36,33,99.9999999999999,adm2,ocha
37,37,47,99.99990926939957,adm2,ocha
38,38,17,100.00000000000003,adm2,ocha
39,39,34,95.1276949251238,adm2,ocha
40,40,24,97.95395649189803,adm2,ocha
41,41,58,99.96048222053719,adm2,ocha
42,42,8,99.9048447523491,adm2,ocha
43,43,35,97.9607700552373,adm2,ocha
44,44,24,1.980869304082309,adm2,ocha
45,45,25,99.99999999999989,adm2,ocha
46,46,59,87.46767632765825,adm2,ocha
47,47,9,99.9997656576393,adm2,ocha
48,48,10,99.99993855951418,adm2,ocha
49,49,27,99.99999999999996,adm2,ocha
50,50,48,99.99980060415655,adm2,ocha
51,51,49,99.32807567193557,adm2,ocha
52,52,36,93.89520805117435,adm2,ocha
53,53,60,99.99999999993352,adm2,ocha
54,54,61,99.99999999999997,adm2,ocha
55,55,37,99.99974332178554,adm2,ocha
56,56,38,100.00000000000003,adm2,ocha
57,57,4,100.00000000000003,adm2,ocha
58,58,50,97.65022166881172,adm2,ocha
59,59,62,100.0,adm2,ocha
60,60,26,99.99343683286888,adm2,ocha
61,61,18,97.83608813127994,adm2,ocha
62,62,51,99.99983424211332,adm2,ocha
63,63,39,99.99950959411682,adm2,ocha
64,64,52,89.10572528012955,adm2,ocha
65,65,36,6.1047919488055244,adm2,ocha
66,66,59,12.532323672266763,adm2,ocha
