,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,35,98.87353106526061,adm2,ocha
1,1,4,99.99999943246763,adm2,ocha
2,2,42,97.92362436730426,adm2,ocha
3,3,10,99.99999859049537,adm2,ocha
4,4,32,98.4765079214686,adm2,ocha
5,5,29,99.40617407860401,adm2,ocha
6,6,0,92.28003421101718,adm2,ocha
7,7,5,99.99999873766862,adm2,ocha
8,8,7,99.19924639415541,adm2,ocha
9,9,8,95.70142292643492,adm2,ocha
10,10,9,99.99999818898469,adm2,ocha
11,11,36,99.99999852808645,adm2,ocha
12,12,33,97.94228903329002,adm2,ocha
13,13,1,83.36900824893058,adm2,ocha
14,14,14,99.96252224833535,adm2,ocha
15,15,11,99.57122666618947,adm2,ocha
16,16,26,99.70929075971682,adm2,ocha
17,17,15,99.97841086218968,adm2,ocha
18,18,23,99.62298320764272,adm2,ocha
19,19,17,99.47284379550334,adm2,ocha
20,20,20,99.05435134885751,adm2,ocha
21,21,37,99.47029772742876,adm2,ocha
22,22,12,99.68146754547989,adm2,ocha
23,23,24,99.99999706164652,adm2,ocha
24,24,25,99.95209159890699,adm2,ocha
25,25,13,99.99999956019742,adm2,ocha
26,26,27,99.6650725963045,adm2,ocha
27,27,6,99.99999896538606,adm2,ocha
28,28,39,99.44367663828132,adm2,ocha
29,29,21,97.78314640860373,adm2,ocha
30,30,16,97.19235777171123,adm2,ocha
31,31,43,90.53302153941274,adm2,ocha
32,32,2,80.77344810392913,adm2,ocha
33,33,30,99.70359302205745,adm2,ocha
34,34,28,99.99999962571415,adm2,ocha
35,35,3,95.49267864523966,adm2,ocha
36,36,31,99.15617980691034,adm2,ocha
37,37,18,95.66510185912915,adm2,ocha
38,38,19,99.24968469543995,adm2,ocha
39,39,34,99.99999185072272,adm2,ocha
40,40,38,99.32372343691404,adm2,ocha
41,41,40,99.91537281008816,adm2,ocha
42,42,41,99.65553045637414,adm2,ocha
43,43,22,98.6473149980991,adm2,ocha
44,44,44,95.75374874246958,adm2,ocha
