,Unnamed: 0,country,comp_source,adm0,adm1,adm2,all
0,0,bdi,esri,,89.61920108774459,,89.61920108774459
1,1,bdi,gB,99.76027625889202,94.09106936583112,99.75419106018784,99.05151234773996
2,2,bdi,ocha,99.70539376034918,99.72644422276012,99.7541911138854,99.75021835016229
3,3,ben,esri,,80.88553229341242,,80.88553229341242
4,4,ben,gB,99.2791465217246,89.53312128471659,85.46830497183345,86.16373427521665
5,5,caf,esri,,36.52509001013576,,36.52509001013576
6,6,caf,gB,,40.29049380982145,,40.29049380982145
7,7,caf,ocha,99.6514373847078,40.92860120104274,23.527651031348583,27.66031702288369
8,8,can,gB,,,52.88651590682678,52.88651590682678
9,9,civ,esri,99.54243125298544,95.90705787014996,,96.14941609567234
10,10,civ,gB,98.54764585783596,96.38945144585854,94.61908723789207,95.21728843646446
11,11,civ,ocha,99.52737262338506,41.21838171082518,29.38392709331692,32.62815559971016
12,12,cmr,esri,,95.844386360503,,95.844386360503
13,13,cmr,gB,99.51842306668372,99.5555664884048,82.17332862707845,84.86582824754139
14,14,cmr,ocha,99.55607016521869,99.6318811356244,99.67795218075024,99.66950881166632
15,15,cri,esri,,97.71876494695616,,97.71876494695616
16,16,cri,gB,99.6629487736604,97.8687716978702,96.99700365558844,97.09442944907782
17,17,cub,gB,98.1374665512021,96.47803085953802,91.48994104856791,91.95727598088229
18,18,cub,ocha,98.08089700861618,90.01715928353656,61.48512667951452,64.15057690650616
19,19,cyp,esri,,98.36887784965673,,98.36887784965673
20,20,cyp,gB,96.98204929160626,93.1575014972108,0.9773563405075046,2.0327800216315994
21,21,ecu,esri,,91.1277958485884,,91.1277958485884
22,22,ecu,gB,99.33009596209445,93.05477281926588,93.29871018000584,93.2984409099801
23,23,ecu,ocha,99.59896022406794,93.05477370625404,93.16617964024547,93.18077016918164
24,24,gha,esri,,92.97560850570378,,92.97560850570378
25,25,gha,gB,,,82.68235297848612,82.68235297848612
26,26,gnb,esri,,82.47578719314707,,82.47578719314707
27,27,gnb,gB,92.7567566031866,78.50721441461211,74.39885651857097,75.52810388895843
28,28,isl,gB,99.5644561311701,33.15695170056404,97.3233349880783,91.16562480546357
29,29,khm,gB,,,83.19431899328708,83.19431899328708
30,30,lka,esri,,97.50347401582916,,97.50347401582916
31,31,lka,gB,99.68099731684283,99.1314869876868,98.17660937504166,98.46513184520188
32,32,lso,esri,99.83759990706388,95.728698702247,,96.10223517541218
33,33,lso,gB,99.85432428529391,95.78112090376293,12.785870933213891,23.0894771473439
34,34,lso,ocha,99.8847654339326,99.56406354609932,12.785870888531049,23.51486887865559
35,35,mdg,esri,99.6832039918646,98.18482283775636,,98.39887728834326
36,36,mdg,gB,99.37353376944976,26.735299704291545,,29.893483794081035
37,37,mdg,ocha,99.73560740580297,27.072757841107794,19.01542389340061,20.8321952339778
38,38,mng,gB,99.92682240895796,94.09263116045231,,94.34629164951778
39,39,moz,esri,99.66847153147822,98.29646933174229,,98.42119680444556
40,40,moz,gB,99.6638683421844,97.63645926890766,96.38469436840866,96.47761685651903
41,41,moz,ocha,99.85438779496896,99.10498974946869,96.38469436840874,96.57997473459716
42,42,ner,esri,99.34823951001222,84.94017362704528,,86.54106983626383
43,43,ner,gB,99.5173319852028,70.95215653311955,89.4344114401414,88.07210591450531
44,44,ner,ocha,99.75908061387044,87.15401606363562,94.83914788331164,94.09492259611623
45,45,nga,esri,,86.0586868515039,,86.0586868515039
46,46,nga,gB,99.50938063127336,96.87787968841536,86.29768060418485,86.79605383835187
47,47,nga,ocha,99.50938063246038,98.20193139301108,86.29768066899946,86.85638630539341
48,48,nzl,gB,,99.77094489427036,,99.77094489427036
49,49,sen,esri,,92.14696976428527,,92.14696976428527
50,50,sen,gB,99.32981173660728,98.98227228433754,97.94668782327405,98.2113762627444
51,51,sen,ocha,99.32981178021764,98.98227250759388,97.9466879128678,98.21137638275972
52,52,swz,gB,99.86751909665314,94.01901434920715,59.0771673867692,62.19023186193533
53,53,tgo,esri,,87.66361073995381,,87.66361073995381
54,54,tgo,gB,99.10972613722046,97.30404226506134,78.71928337484378,81.35449819376157
55,55,tgo,ocha,98.5395358065331,95.5945312265837,80.83994694006292,82.82847977265149
56,56,all,esri,99.61598923868088,86.89447530698482,,87.16983275139381
57,57,all,gB,98.96862903638711,84.94605750230029,69.2233532542067,70.69760379392314
58,58,all,ocha,99.44097697185622,77.38874235368614,75.37832439577093,75.71628428210482
